node_id,bus,load_element_count,complete_official_files,dss_vs_parquet_max_abs_error_kw,dss_vs_parquet_mean_abs_error_kw,dss_vs_parquet_corr,legacy_vs_dss_max_abs_error_kw,legacy_vs_parquet_max_abs_error_kw,legacy_vs_dss_corr,legacy_vs_parquet_corr
p10rlv20103,p10rlv20103,2,True,8.881784197001252e-16,1.895363622519317e-17,1.0,11.937787398521857,11.937787398521857,0.385031474090437,0.385031474090437
p10rlv20105,p10rlv20105,2,True,2.220446049250313e-16,7.967846321849636e-18,1.0,2.419844194853383,2.419844194853383,0.8416182309103225,0.8416182309103225
p10rlv20976,p10rlv20976,2,True,8.881784197001252e-16,2.8659770523312715e-17,1.0,7.832190901423731,7.832190901423731,0.4383839698683854,0.4383839698683854
p10rlv21568,p10rlv21568,2,True,8.881784197001252e-16,8.054186440060354e-18,1.0,13.011207111858905,13.011207111858905,0.2664584414113428,0.2664584414113428
p10rlv21569,p10rlv21569,2,True,4.440892098500626e-16,1.1143816083004434e-17,1.0,5.680414020044356,5.680414020044356,0.1471999397093458,0.1471999397093458
p10rlv2169,p10rlv2169,2,True,8.881784197001252e-16,2.842728589308477e-17,1.0,8.587304146549974,8.587304146549974,0.1979862075870516,0.1979862075870516
p10rlv21869,p10rlv21869,2,True,2.220446049250313e-16,7.967846321849636e-18,1.0,2.419844194853383,2.419844194853383,0.8416182309103225,0.8416182309103225
p10rlv22134,p10rlv22134,2,True,2.7755575615628914e-17,9.445925776723025e-20,1.0,2.5944545772520677,2.5944545772520677,0.38332582251399605,0.38332582251399605
p10rlv22442,p10rlv22442,2,True,4.440892098500626e-16,8.698964937523879e-18,1.0,6.5945340075190435,6.5945340075190435,0.33923947662122833,0.33923947662122833
p10rlv23067,p10rlv23067,2,True,2.220446049250313e-16,7.967846321849636e-18,1.0,4.702696722122652,4.702696722122652,-0.022044710475098945,-0.022044710475098952
p10rlv23375,p10rlv23375,2,True,8.881784197001252e-16,5.1946650938154795e-18,1.0,13.578103378803691,13.578103378803691,0.25552343600897676,0.25552343600897676
p10rlv24009,p10rlv24009,2,True,8.881784197001252e-16,2.964238443744478e-17,1.0,13.94225418356457,13.94225418356457,0.1173978565211807,0.11739785652118069
p10rlv24610,p10rlv24610,2,True,8.881784197001252e-16,2.0380070031375377e-16,1.0,8.63400076429207,8.63400076429207,0.2815151970590624,0.28151519705906247
p10rlv24611,p10rlv24611,2,True,8.881784197001252e-16,4.056401333551246e-17,1.0,9.273904639072175,9.273904639072175,0.4813495144926284,0.4813495144926284
